,game_id,team,net_pass_yds,net_rush_yds,time_of_possession,net_pen_yds,fumble,interception,turnovers,num_passing_attempts,completions,completion_ratio,ypg,qbr,num_rushing_attempts,is_winner
134,2009101101,CLE,22,171,1602.0,0.0,0.0,1.0,1.0,18.0,2.0,0.1111111111111111,193,-6.712962962962961,41,True
135,2009101101,BUF,143,145,1883.0,30.0,1.0,1.0,2.0,33.0,16.0,0.48484848484848486,288,47.91666666666667,35,False
136,2009101105,NYG,263,220,2200.0,15.0,2.0,0.0,2.0,23.0,17.0,0.7391304347826086,483,140.30797101449278,41,True
137,2009101105,OAK,64,60,1321.0,0.0,3.0,0.0,3.0,19.0,8.0,0.42105263157894735,124,51.20614035087719,25,False
138,2009101100,CIN,261,143,2076.0,0.0,2.0,1.0,3.0,31.0,18.0,0.5806451612903226,404,82.86290322580646,33,True
139,2009101100,BAL,175,82,1438.0,0.0,0.0,2.0,2.0,33.0,22.0,0.6666666666666666,257,64.58333333333334,18,False
140,2009101108,ATL,329,149,2202.0,30.0,4.0,1.0,5.0,32.0,22.0,0.6875,478,110.02604166666667,38,True
141,2009101108,SF,179,100,1296.0,24.0,0.0,1.0,1.0,41.0,15.0,0.36585365853658536,279,40.59959349593496,17,False
142,2009101111,SEA,236,146,1394.0,0.0,2.0,0.0,2.0,31.0,18.0,0.5806451612903226,382,125.2016129032258,37,True
143,2009101111,JAC,161,38,1481.0,15.0,2.0,0.0,2.0,37.0,19.0,0.5135135135135135,199,63.00675675675676,15,False
144,2009101110,DEN,321,103,1914.0,0.0,1.0,1.0,2.0,49.0,35.0,0.7142857142857143,424,94.00510204081633,25,True
145,2009101110,NE,209,97,1680.0,30.0,2.0,0.0,2.0,34.0,19.0,0.5588235294117647,306,93.87254901960786,26,False
146,2009101109,HOU,371,45,2008.0,0.0,1.0,1.0,2.0,50.0,35.0,0.7,416,96.33333333333333,21,True
147,2009101109,ARI,296,44,1581.0,0.0,1.0,0.0,1.0,39.0,26.0,0.6666666666666666,340,106.3568376068376,16,False
148,2009101112,IND,309,58,2007.0,0.0,0.0,1.0,1.0,44.0,36.0,0.8181818181818182,367,112.78409090909092,23,True
